type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
s,Công ty Cổ phần Xây dựng và Đầu tư 492,Engineering Construction Joint Stock Company No 492,C92,,UPCOM,C92,C92,,upcom:3044,2022-08-03T01:15:00.770Z,2023-10-04T01:30:30.868Z,19126512000.0,5312920.0,,,
s,Công ty Cổ phần Thực phẩm G.C,G.C Food Joint Stock Company,GCF,,UPCOM,GCF,GCF,,upcom:81461,2022-12-20T00:50:00.286Z,2023-10-04T01:30:31.230Z,398839987000.0,30679999.0,,,
w,,,CFPT2214,,HOSE,CFPT2214,CFPT2214,CHUNG QUYEN FPT-HSC-MET12,hose:4645,2023-01-05T00:50:00.247Z,2023-01-05T00:50:00.247Z,,,,,
s,Công ty Cổ phần Tập đoàn FLC,FLC Group Joint Stock Company,FLC,,UPCOM,FLC,FLC,,upcom:16996,2023-03-03T00:50:00.276Z,2023-10-04T01:30:31.386Z,2484992324500.0,709997807.0,,,
w,,,CFPT2303,,HOSE,CFPT2303,CFPT2303,CHUNG QUYEN FPT/ACBS/CALL,hose:4678,2023-03-13T00:50:00.237Z,2023-03-13T00:50:00.237Z,,,,,
b,,,BAB123007,,HNX,BAB123007,BAB123007,,hnx:81705,2023-06-03T01:45:17.133Z,2023-06-03T01:45:17.133Z,,,,,
s,Công ty Cổ phần Chứng khoán An Bình,An Binh Securities Joint Stock Company,ABW,,UPCOM,ABW,ABW,,upcom:81681,2023-06-03T01:45:18.067Z,2023-10-04T01:30:31.720Z,1128935150000.0,101150000.0,,,
w,,,CVRE2303,,HOSE,CVRE2303,CVRE2303,CHUNG QUYEN VRE/ACBS/CALL,hose:4720,2023-06-15T00:50:00.330Z,2023-06-15T00:50:00.330Z,,,,,
w,,,CSTB2309,,HOSE,CSTB2309,CSTB2309,CQ.STB.KIS.M.CA.T.28,hose:4727,2023-06-16T00:50:00.307Z,2023-06-16T00:50:00.307Z,,,,,
s,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,Nirvana Health Vietnam Joint Stock Company ,NHV,,UPCOM,NHV,NHV,,upcom:76119,2022-05-05T06:56:56.255Z,2023-10-04T01:30:23.241Z,9316190400.0,5480112.0,,,
s,Công ty Cổ phần NTACO,NTACO Corporation,ATA,,UPCOM,ATA,ATA,,upcom:75662,2022-05-05T06:56:56.261Z,2023-10-04T01:30:23.298Z,15599997400.0,11999998.0,,,
s,Công ty Cổ phần Dịch vụ biển Tân Cảng,Tan Cang Offshore Services Joint Stock Company,TOS,,UPCOM,TOS,TOS,,upcom:80441,2022-05-05T06:56:56.277Z,2023-10-04T01:30:23.451Z,1010596283600.0,30999886.0,,,
